TYPE
kern

GROUPS1
beh;alef-ar.fina;alef-ar.fina.short;behDotless-ar.fina;behDotless-ar.medi;behDotless-ar.medi.med;behDotless-ar.medi.high;behDotless-ar.medi.round;seen-ar.fina;seen-ar.fina.low;seen-ar.medi;seen-ar.medi.low;ain-ar.fina;ain-ar.medi;lam-ar.fina;lam-ar.fina.short;lam-ar.medi;lam-ar.medi.hah1;lam-ar.medi.hah1.round;lam-ar.medi.hah2;lam-ar.medi.hah2.round;lam-ar.medi.round;lam-ar.medi.round.short;lam-ar.medi.short;heh-ar.fina;heh-ar.medi;heh-ar.medi.round;seen_alefMaksura-ar.fina
waw-ar.fina;behDotless-ar.medi;-10
@beh.init;@lam.fina;-80
@beh.init;alef-ar;-10
@beh.init;behDotless-ar.fina;-14
@beh.init;dal-ar;-10
@beh.init;fehDotless-ar.fina;-15
@beh.init;reh-ar;-50
@beh.init;reh-ar.fina;-95
@beh.init;waw-ar;-20
@dal.isol;@lam.fina;-87
@dal.isol;ain-ar.fina;-30
@dal.isol;alef-ar;-35
@dal.isol;behDotless-ar.fina;-10
@dal.isol;noonghunna-ar;-20
@dal.isol;reh-ar;-30
@dal.isol;reh-ar.fina;-75
@dal.isol;waw-ar;-5
@feh.init;@lam.fina;-80
@feh.init;ain-ar.fina;-5
@feh.init;alef-ar;-13
@feh.init;behDotless-ar.fina;-35
@feh.init;dal-ar;-70
@feh.init;fehDotless-ar.fina;-50
@feh.init;reh-ar;-80
@feh.init;reh-ar.fina;-120
@feh.init;waw-ar;-40
@feh.init;waw-ar.fina;-110
@feh.init;waw-ar.fina.round;-100
@hah.init;@lam.fina;-80
@hah.init;ain-ar.fina;-80
@hah.init;alef-ar;-30
@hah.init;behDotless-ar.fina;-60
@hah.init;dal-ar;-65
@hah.init;fehDotless-ar.fina;-50
@hah.init;noonghunna-ar;-140
@hah.init;reh-ar;-80
@hah.init;reh-ar.fina;-140
@hah.init;waw-ar;-55
@heh.init;@lam.fina;-82
@heh.init;ain-ar.fina;-5
@heh.init;behDotless-ar.fina;-20
@heh.init;dal-ar;-18
@heh.init;fehDotless-ar.fina;-19
@heh.init;reh-ar;-50
@heh.init;reh-ar.fina;-100
@heh.init;waw-ar;-20
@lam;@lam.fina;-65
@lam;alef-ar;-5
@lam;behDotless-ar.fina;-10
@lam;dal-ar;-10
@lam;fehDotless_alef-ar;-8
@lam;reh-ar;-50
@lam;reh-ar.fina;-90
@lam;waw-ar;-15
behDotless-ar;@lam.fina;-83
behDotless-ar;ain-ar.fina;-20
behDotless-ar;alef-ar;-29
behDotless-ar;noonghunna-ar;-10
behDotless-ar;reh-ar;-43
behDotless-ar;reh-ar.fina;-90
behDotless-ar;waw-ar;-10
lam_alef-ar;@lam.fina;-87
lam_alef-ar;ain-ar.fina;-110
lam_alef-ar;alef-ar;-60
lam_alef-ar;reh-ar;-30
lam_alef-ar;reh-ar.fina;-90
meem-ar.init;@lam.fina;-80
meem-ar.init;ain-ar.fina;-10
meem-ar.init;alef-ar;-19
meem-ar.init;behDotless-ar.fina;-20
meem-ar.init;dal-ar;-20
meem-ar.init;fehDotless-ar.fina;-10
meem-ar.init;reh-ar;-52
meem-ar.init;reh-ar.fina;-110
meem-ar.init;waw-ar;-25
meem-ar.init.round;@lam.fina;-80
meem-ar.init.round;ain-ar.fina;-10
meem-ar.init.round;alef-ar;-21
meem-ar.init.round;behDotless-ar.fina;-10
meem-ar.init.round;dal-ar;-10
meem-ar.init.round;reh-ar;-29
meem-ar.init.round;reh-ar.fina;-90
meem-ar.init.round;waw-ar;-10
reh-ar;@lam.fina;-85
reh-ar;ain-ar.fina;-40
reh-ar;alef-ar;-40
reh-ar;noonghunna-ar;-30
reh-ar;reh-ar.fina;-60
seen_alefMaksura-ar;@lam.fina;140
waw-ar;@lam.fina;-82
waw-ar;ain-ar.fina;-10
waw-ar;alef-ar;-22
waw-ar;behDotless-ar.fina;-15
waw-ar;dal-ar;-11
waw-ar;reh-ar;-40
waw-ar;reh-ar.fina;-100
waw-ar;waw-ar;-15
@kaf.wide;@seen;-19
@kaf.wide;ain-ar.init;-34
_c.seen.meem;@seen;-36
noonghunna-ar;_c.ain.meem;-8
noonghunna-ar;alef-ar;-35
waw-ar.fina.round;_c.ain.meem;-7
waw-ar.fina.round;_c.hah.reh;-4
meem-ar.fina.round;_c.feh.init.dal;9
_c.ain.init.beh;ain-ar.init;-50
@meem;alef-ar;-23
@meem;behDotless-ar.fina;-10
@meem;dal-ar;-6
@meem;reh-ar;-20
@meem;reh-ar.fina;-80
@meem;waw-ar;-10
heh-ar.init;alef-ar;-16
lam-ar;alef-ar;-15
dal-ar;behDotless-ar.fina;0
fehDotless-ar.init;behDotless-ar.fina;-60
fehDotless-ar.init;dal-ar;-60
fehDotless-ar.init;waw-ar;-70
fehDotless-ar.init.hah;behDotless-ar.fina;-62
fehDotless-ar.init.hah;waw-ar;-80
fehDotless-ar.init.yeh;behDotless-ar.fina;-62
fehDotless-ar.init.yeh;waw-ar;-80
heh-ar;behDotless-ar.fina;-12
heh-ar;waw-ar;-13
kaf-ar;behDotless-ar.fina;0
kaf-ar.init.alt;behDotless-ar.fina;0
fehDotless-ar;dal-ar;-36
_c.feh.init.beh;fehDotless-ar.init;-114
_c.feh.init.dal;fehDotless-ar.init;-117
hah-ar.medi.hah;fehDotless-ar.init.hah;11
_c.feh.medi.dal;fehDotless-ar.medi;-78
_c.feh.medi.meem;fehDotless-ar.medi;-71
_c.feh.medi.reh;fehDotless-ar.medi;-70
lam-ar.short;fehDotless_alef-ar;-17
fehDotless_alef-ar;reh-ar;-70
ain-ar;reh-ar.fina;-144
ain-ar;waw-ar;-65
ain-ar.init;waw-ar;-75
yehbarree-ar;waw-ar;-80
